"sh603052"    "可川科技"
"sh600889"    "南京化纤"
"sh601900"    "南方传媒"
"sh603177"    "德创环保"
"sh688148"    "芳源股份"
"sh603585"    "苏利股份"
"sh605117"    "德业股份"
"sh688091"    "上海谊众"
"sh603351"    "威尔药业"
"sh600679"    "上海凤凰"
"sh603286"    "日盈电子"
"sh603536"    "惠发食品"
"sh603028"    "赛福天"
"sh688488"    "艾迪药业"
"sh688100"    "威胜信息"
"sh688353"    "华盛锂电"
"sh600463"    "空港股份"
"sh603899"    "晨光股份"
"sh688321"    "微芯生物"
"sh688555"    "泽达易盛"
"sh600168"    "武汉控股"
"sh605507"    "国邦医药"
"sh600663"    "陆家嘴"
"sh603688"    "石英股份"
"sh603638"    "艾迪精密"
"sh605006"    "山东玻纤"
"sh603578"    "三星新材"
"sh603988"    "中电电机"
"sh603797"    "联泰环保"
"sh603219"    "富佳股份"
"sh600561"    "江西长运"
"sh601188"    "龙江交通"
"sh603909"    "建发合诚"
"sh688426"    "C康为"
"sh600817"    "宇通重工"
"sh688025"    "杰普特"
"sh603855"    "华荣股份"
"sh603026"    "胜华新材"
"sh600389"    "江山股份"
"sh603798"    "康普顿"
"sh600283"    "钱江水利"
"sh688613"    "奥精医疗"
"sh688556"    "高测股份"
"sh603131"    "上海沪工"
"sh688409"    "富创精密"
"sh605009"    "豪悦护理"
"sh603324"    "盛剑环境"
"sh600119"    "长江投资"
"sh605068"    "明新旭腾"
"sh688273"    "麦澜德"
"sh603032"    "德新交运"
"sh603533"    "掌阅科技"
"sh603861"    "白云电器"
"sh688036"    "传音控股"
"sh603070"    "万控智造"
"sh688408"    "中信博"
"sh600689"    "上海三毛"
"sh688776"    "国光电气"
"sh688095"    "福昕软件"
"sh688031"    "星环科技"
"sh600785"    "新华百货"
"sh688678"    "福立旺"
"sh603020"    "爱普股份"
"sh600883"    "博闻科技"
"sh600592"    "龙溪股份"
"sh600012"    "皖通高速"
"sh603683"    "晶华新材"
"sh688298"    "东方生物"
"sh603697"    "有友食品"
"sh603716"    "塞力医疗"
"sh605186"    "健麾信息"
"sh603332"    "苏州龙杰"
"sh688179"    "阿拉丁"
"sh688589"    "力合微"
"sh603839"    "安正时尚"
"sh688529"    "豪森股份"
"sh603983"    "丸美股份"
"sh600851"    "海欣股份"
"sh603132"    "金徽股份"
"sh603071"    "物产环能"
"sh688622"    "禾信仪器"
"sh688282"    "理工导航"
"sh601921"    "浙版传媒"
"sh603551"    "奥普家居"
"sh603682"    "锦和商管"
"sh603867"    "新化股份"
"sh688183"    "生益电子"
"sh603322"    "超讯通信"
"sh600506"    "香梨股份"
"sh603068"    "博通集成"
"sh688300"    "联瑞新材"
"sh600955"    "维远股份"
"sh603613"    "国联股份"
"sh603239"    "浙江仙通"
"sh600444"    "国机通用"
"sh600894"    "广日股份"
"sh688365"    "光云科技"
"sh601999"    "出版传媒"
"sh603687"    "大胜达"
"sh605336"    "帅丰电器"
"sh603111"    "康尼机电"
"sh688135"    "利扬芯片"
"sh600857"    "宁波中百"
"sh688221"    "前沿生物"
"sh688558"    "国盛智科"
"sh603316"    "诚邦股份"
"sh600250"    "南纺股份"
"sh603577"    "汇金通"
"sh600628"    "新世界"
"sh688590"    "新致软件"
"sh603355"    "莱克电气"
"sh600436"    "片仔癀"
"sh688244"    "永信至诚"
"sh603095"    "越剑智能"
"sh603829"    "洛凯股份"
"sh605060"    "联德股份"
"sh603311"    "金海高科"
"sh688206"    "概伦电子"
"sh603725"    "天安新材"
"sh603378"    "亚士创能"
"sh603656"    "泰禾智能"
"sh603189"    "网达软件"
"sh688508"    "芯朋微"
"sh600301"    "南化股份"
"sh601021"    "春秋航空"
"sh688271"    "联影医疗"
"sh600288"    "大恒科技"
"sh688381"    "帝奥微"
"sh603121"    "华培动力"
"sh688003"    "天准科技"
"sh603980"    "吉华集团"
"sh603949"    "雪龙集团"
"sh688258"    "卓易信息"
"sh603662"    "柯力传感"
"sh688722"    "同益中"
"sh605198"    "安德利"
"sh688260"    "昀冢科技"
"sh600097"    "开创国际"
"sh600834"    "申通地铁"
"sh688228"    "开普云"
"sh688150"    "莱特光电"
"sh603042"    "华脉科技"
"sh688698"    "伟创电气"
"sh688017"    "绿的谐波"
"sh605286"    "同力日升"
"sh688167"    "炬光科技"
"sh688238"    "和元生物"
"sh605305"    "中际联合"
"sh688151"    "华强科技"
"sh603836"    "海程邦达"
"sh603733"    "仙鹤股份"
"sh603608"    "天创时尚"
"sh603956"    "威派格"
"sh605077"    "华康股份"
"sh605338"    "巴比食品"
"sh603786"    "科博达"
"sh603097"    "江苏华辰"
"sh603458"    "勘设股份"
"sh603390"    "通达电气"
"sh688085"    "三友医疗"
"sh603112"    "华翔股份"
"sh688390"    "固德威"
"sh603898"    "好莱客"
"sh688305"    "科德数控"
"sh603880"    "南卫股份"
"sh688501"    "青达环保"
"sh600148"    "长春一东"
"sh688068"    "热景生物"
"sh603155"    "新亚强"
"sh688086"    "*ST紫晶"
"sh688266"    "泽璟制药"
"sh600099"    "林海股份"
"sh688369"    "致远互联"
"sh603165"    "荣晟环保"
"sh688077"    "大地熊"
"sh603776"    "永安行"
"sh605555"    "德昌股份"
"sh688285"    "高铁电气"
"sh600053"    "九鼎投资"
"sh688597"    "煜邦电力"
"sh688268"    "华特气体"
"sh600620"    "天宸股份"
"sh603230"    "内蒙新华"
"sh605138"    "盛泰集团"
"sh688235"    "百济神州"
"sh688315"    "诺禾致源"
"sh603583"    "捷昌驱动"
"sh603630"    "拉芳家化"
"sh688630"    "芯碁微装"
"sh605255"    "天普股份"
"sh688116"    "天奈科技"
"sh603811"    "诚意药业"
"sh603236"    "移远通信"
"sh688078"    "龙软科技"
"sh688363"    "华熙生物"
"sh603519"    "立霸股份"
"sh688037"    "芯源微"
"sh688718"    "唯赛勃"
"sh688156"    "路德环境"
"sh688127"    "蓝特光学"
"sh688455"    "科捷智能"
"sh603209"    "兴通股份"
"sh688234"    "天岳先进"
"sh688200"    "华峰测控"
"sh600088"    "中视传媒"
"sh605376"    "博迁新材"
"sh600532"    "*ST未来"
"sh603290"    "斯达半导"
"sh603098"    "森特股份"
"sh603508"    "思维列控"
"sh603025"    "大豪科技"
"sh603269"    "海鸥股份"
"sh603208"    "江山欧派"
"sh605028"    "世茂能源"
"sh600229"    "城市传媒"
"sh688319"    "欧林生物"
"sh688039"    "当虹科技"
"sh603978"    "深圳新星"
"sh688439"    "振华风光"
"sh688201"    "信安世纪"
"sh605162"    "新中港"
"sh603033"    "三维股份"
"sh600648"    "外高桥"
"sh605055"    "迎丰股份"
"sh688401"    "路维光电"
"sh600990"    "四创电子"
"sh603605"    "珀莱雅"
"sh688190"    "云路股份"
"sh600608"    "ST沪科"
"sh605337"    "李子园"
"sh688022"    "瀚川智能"
"sh605123"    "派克新材"
"sh688182"    "灿勤科技"
"sh603223"    "恒通股份"
"sh688680"    "海优新材"
"sh605296"    "神农集团"
"sh688029"    "南微医学"
"sh600793"    "宜宾纸业"
"sh603386"    "骏亚科技"
"sh688123"    "聚辰股份"
"sh600462"    "ST九有"
"sh601512"    "中新集团"
"sh603767"    "中马传动"
"sh603922"    "金鸿顺"
"sh605566"    "福莱蒽特"
"sh603737"    "三棵树"
"sh605365"    "立达信"
"sh688137"    "近岸蛋白"
"sh688087"    "英科再生"
"sh603706"    "东方环宇"
"sh688690"    "纳微科技"
"sh688216"    "气派科技"
"sh603615"    "茶花股份"
"sh603186"    "华正新材"
"sh688233"    "神工股份"
"sh600081"    "东风科技"
"sh688050"    "爱博医疗"
"sh600083"    "博信股份"
"sh688170"    "德龙激光"
"sh603926"    "铁流股份"
"sh688456"    "有研粉材"
"sh688595"    "芯海科技"
"sh605577"    "龙版传媒"
"sh600486"    "扬农化工"
"sh600306"    "ST商城"
"sh600289"    "ST信通"
"sh603639"    "海利尔"
"sh688711"    "宏微科技"
"sh600861"    "北京城乡"
"sh600548"    "深高速"
"sh688189"    "南新制药"
"sh688061"    "灿瑞科技"
"sh603879"    "永悦科技"
"sh688608"    "恒玄科技"
"sh688001"    "华兴源创"
"sh603013"    "亚普股份"
"sh605056"    "咸亨国际"
"sh603886"    "元祖股份"
"sh603045"    "福达合金"
"sh603038"    "华立股份"
"sh600647"    "同达创业"
"sh603629"    "利通电子"
"sh600778"    "友好集团"
"sh688102"    "斯瑞新材"
"sh688098"    "申联生物"
