"sh561800"    "稀有金属ETF基金"
"sz159925"    "沪深300ETF南方"
"sh516320"    "高端装备ETF"
"sh516380"    "智能电动车ETF"
"sh517110"    "创新药沪深港ETF"
"sz159789"    "饮料ETF"
"sz159810"    "浦银创业板ETF"
"sz159958"    "创业板ETF工银"
"sh516560"    "养老ETF"
"sh518680"    "金ETF"
"sh513000"    "日经225ETF易方达"
"sh512960"    "央调ETF"
"sz159987"    "科技创新ETF"
"sh512640"    "金融地产ETF基金"
"sz159830"    "上海金ETF"
"sh510660"    "医药卫生ETF"
"sh518660"    "黄金ETF基金"
"sh517100"    "AH500ETF"
"sh516690"    "化工产业ETF"
"sz159969"    "深100ETF银华"
"sh510200"    "上证券商ETF"
"sh517350"    "中概科技ETF"
"sz159835"    "创新药50ETF"
"sh510530"    "工银中证500ETF"
"sh517800"    "人工智能50ETF"
"sh512260"    "中证500低波ETF"
"sz159827"    "农业50ETF"
"sh517770"    "游戏传媒ETF"
"sz159834"    "金ETF"
"sh515990"    "国企一带一路ETF"
"sz159731"    "石化ETF"
"sh510680"    "上证50ETF基金"
"sh512770"    "战略新兴ETF"
"sz159758"    "红利50ETF"
"sh511900"    "富国货币ETF"
"sz159001"    "货币ETF"
"sz159617"    "500价值ETF"
"sz159990"    "小盘价值ETF"
"sh510030"    "价值ETF"
"sz159978"    "大湾区ETF"
"sh513880"    "日经225ETF"
"sh516260"    "物联网50ETF"
"sh560500"    "500质量成长ETF"
"sz159710"    "智能电车ETF"
"sz159902"    "中小100ETF"
"sh516650"    "有色50ETF"
"sz159778"    "工业互联ETF"
"sh513080"    "法国CAC40ETF"
"sh510020"    "超大盘ETF"
"sh560600"    "医药创新ETF"
"sh516850"    "新能源80ETF"
"sh517990"    "医药ETF沪港深"
"sz159815"    "浙江100ETF"
"sz159769"    "消费电子龙头ETF"
"sh512180"    "MSCIA股ETF基金"
"sh510770"    "G60创新ETF"
"sh515680"    "嘉实央企创新ETF"
"sh511810"    "理财金货币ETF"
"sh510160"    "产业升级ETF"
"sh561600"    "消费电子ETF"
"sz159793"    "线上消费ETF平安"
"sz159923"    "中证100ETF"
"sh510060"    "央企ETF"
"sh512930"    "AIETF"
"sz159931"    "金融ETF"
"sh510590"    "平安中证500ETF"
"sz159725"    "线上消费ETF"
"sh515590"    "500等权ETF"
"sz159832"    "平安金ETF"
"sh516480"    "新材料ETF基金"
"sh510600"    "申万上证50ETF"
"sh513800"    "东京证券指数ETF"
"sh588310"    "双创ETF基金"
"sh517760"    "消费TOPETF"
"sh518890"    "中银上海金ETF"
"sz159972"    "5年地债ETF"
"sz159831"    "上海金ETF基金"
"sz159903"    "深成ETF"
"sz159816"    "0-4地债ETF"
"sh512530"    "沪深300红利ETF"
"sh510130"    "中盘ETF"
"sz159965"    "央视50ETF"
"sz159866"    "日经ETF"
"sh510550"    "方正中证500ETF"
"sz159709"    "物联网ETF工银"
"sz159804"    "创中盘88ETF"
"sz159970"    "深100ETF工银"
"sz159964"    "平安创业板ETF"
"sz159909"    "TMT50ETF"
"sz159955"    "创业板ETF嘉实"
"sz159936"    "可选消费ETF"
"sz159777"    "创科技ETF基金"
"sh511690"    "交易货币ETF"
"sz159971"    "创业板ETF富国"
"sh515190"    "中银证券500ETF"
"sh515570"    "山证红利ETF"
"sz159821"    "BOCI创业板ETF"
"sz159973"    "民企领先100ETF"
"sh511700"    "场内货币ETF"
"sz159907"    "中小300ETF"
"sh510270"    "国企ETF"
"sh515360"    "方正沪深300ETF"
"sh562530"    "1000价值ETF"
"sz159833"    "上海金基金ETF"
"sz159620"    "500成长ETF"
"sz159003"    "招商快线ETF"
"sz159719"    "开放共赢ETF"
"sh517030"    "沪港深300ETF基金"
"sh510290"    "上证380ETF"
"sh516980"    "证券ETF先锋"
"sz159910"    "基本面120ETF"
"sh512390"    "平安MSCI低波ETF"
"sh511620"    "货币基金ETF"
"sh510220"    "中小盘ETF"
"sh512190"    "浙商之江凤凰ETF"
"sh512360"    "平安MSCI国际ETF"
"sz159918"    "中创400ETF"
"sh511650"    "华夏快线ETF"
"sh510190"    "上证龙头ETF"
"sz159913"    "深价值ETF"
"sh517550"    "消费ETF沪港深"
"sz159956"    "创业板ETF建信"
"sh510370"    "兴业沪深300ETF"
"sh511800"    "易方达货币ETF"
"sh515760"    "浙江国资ETF"
"sz159763"    "新材料ETF基金"
"sh516190"    "文娱传媒ETF"
"sh512970"    "大湾区ETF"
"sh517900"    "银行ETF优选"
"sh515660"    "国联安沪深300ETF"
"sz159005"    "汇添富快钱ETF"
"sh511860"    "保证金货币ETF"
"sh518860"    "黄金ETFAU"
"sh510440"    "500沪市ETF"
"sz159932"    "中证500深ETF"
"sz159944"    "材料ETF"
"sz159999"    "永赢中证500ETF"
"sz159717"    "ESG300ETF"
"sz159984"    "湾区100ETF"
"sz159912"    "深300ETF"
"sz159812"    "黄金基金ETF"
"sh517010"    "沪港深500ETF指数"
"sh512870"    "杭州湾区ETF"
"sh515550"    "中融中证500ETF"
"sz159916"    "深F60ETF"
"sh510120"    "非周期ETF"
"sh517170"    "沪港深ETF"
"sh511600"    "货币ETF"
"sh515510"    "500成长ETF"
"sh510560"    "国寿500ETF"
"sh510010"    "180治理ETF"
"sz159962"    "四川ETF"
"sz159979"    "湾创100ETF"
"sh510570"    "兴业中证500ETF"
"sh510110"    "周期ETF"
"sh511980"    "现金添富ETF"
